Cell Type,Value,Measurement
Dorsal root ganglion cell,-62.6,resting membrane potential
Dorsal root ganglion cell,-33.2,spike threshold
Dorsal root ganglion cell,61.3,spike amplitude
Dorsal root ganglion cell,1.2,rheobase
Dorsal root ganglion cell,11.8,AHP amplitude
Dorsal root ganglion cell,4.5,AHP duration
Dorsal root ganglion cell,35.3,input resistance
Dorsal root ganglion cell,40.1,cell diameter
Dorsal root ganglion cell,39.6,cell diameter
Dorsal root ganglion cell,39.5,cell diameter
Dorsal root ganglion cell,41.5,cell diameter
Dorsal root ganglion cell,39.8,cell diameter
Dorsal root ganglion cell,220.2,other
Dorsal root ganglion cell,189.5,other
Dorsal root ganglion cell,192.3,other
Dorsal root ganglion cell,205.0,other
Dorsal root ganglion cell,170.8,other
Dorsal root ganglion cell,105.3,other
Dorsal root ganglion cell,-51.8,other
Dorsal root ganglion cell,-86.2,other
Dorsal root ganglion cell,-63.7,other
Dorsal root ganglion cell,-69.3,other
Dorsal root ganglion cell,1.5,spike width
Dorsal root ganglion cell,2.8,spike width
Dorsal root ganglion cell,2.0,spike width
Dorsal root ganglion cell,2.1,spike width
Dorsal root ganglion cell,2.1,spike width
Dorsal root ganglion cell,-64.2,resting membrane potential
Dorsal root ganglion cell,-34.7,spike threshold
Dorsal root ganglion cell,63.3,spike amplitude
Dorsal root ganglion cell,1.6,rheobase
Dorsal root ganglion cell,11.6,AHP amplitude
Dorsal root ganglion cell,2.8,AHP duration
Dorsal root ganglion cell,15.2,input resistance
Dorsal root ganglion cell,54.6,cell diameter
Dorsal root ganglion cell,0.9,spike width
Dorsal root ganglion cell,326.7,spike max rise slope
Dorsal root ganglion cell,154.2,spike max decay slope
Dorsal root ganglion cell,-57.8,resting membrane potential
Dorsal root ganglion cell,-19.6,spike threshold
Dorsal root ganglion cell,44.0,AHP amplitude
Dorsal root ganglion cell,71.6,spike amplitude
Dorsal root ganglion cell,5.4,spike width
Dorsal root ganglion cell,-56.3,resting membrane potential
Dorsal root ganglion cell,-23.8,spike threshold
Dorsal root ganglion cell,35.1,AHP amplitude
Dorsal root ganglion cell,78.1,spike amplitude
Dorsal root ganglion cell,5.1,spike width
Medial vestibular nucleus neuron,-61.9,resting membrane potential
Medial vestibular nucleus neuron,-41.4,spike threshold
Medial vestibular nucleus neuron,0.7,spike half-width
Medial vestibular nucleus neuron,55.7,spike amplitude
Medial vestibular nucleus neuron,-20.5,AHP amplitude
Medial vestibular nucleus neuron,640.6,input resistance
Medial vestibular nucleus neuron,-61.8,resting membrane potential
Medial vestibular nucleus neuron,-50.6,spike threshold
Medial vestibular nucleus neuron,0.4,spike half-width
Medial vestibular nucleus neuron,61.0,spike amplitude
Medial vestibular nucleus neuron,-16.3,AHP amplitude
Medial vestibular nucleus neuron,272.0,input resistance
Other,-63.0,resting membrane potential
Other,513.0,input resistance
Other,23.0,membrane time constant
Other,51.0,cell capacitance
Other,91.0,rheobase
Other,53.0,spike amplitude
Other,16.0,spike peak
Other,-45.0,spike threshold
Nucleus accumbens medium spiny neuron,-79.1,resting membrane potential
Nucleus accumbens medium spiny neuron,5.6,membrane time constant
Nucleus accumbens medium spiny neuron,-46.7,spike threshold
Nucleus accumbens medium spiny neuron,61.1,spike amplitude
Nucleus accumbens medium spiny neuron,2.1,spike width
Nucleus accumbens medium spiny neuron,10.3,AHP amplitude
Nucleus accumbens medium spiny neuron,0.65,rheobase
Nucleus accumbens medium spiny neuron,38.3,input resistance
Dorsal root ganglion cell,40.0,cell diameter
Dorsal root ganglion cell,27.0,cell capacitance
Dorsal root ganglion cell,-55.8,resting membrane potential
Dorsal root ganglion cell,51.1,spike peak
Dorsal root ganglion cell,623.1,spike threshold
Dorsal root ganglion cell,153.4,AHP amplitude
Dorsal root ganglion cell,-59.9,resting membrane potential
Dorsal root ganglion cell,-42.0,spike threshold
Dorsal root ganglion cell,61.5,spike amplitude
Dorsal root ganglion cell,0.9,rheobase
Dorsal root ganglion cell,2.7,AHP duration
Dorsal root ganglion cell,17.0,input resistance
Dorsal root ganglion cell,-56.9,resting membrane potential
Dorsal root ganglion cell,-41.0,spike threshold
Dorsal root ganglion cell,65.6,spike amplitude
Dorsal root ganglion cell,0.7,rheobase
Dorsal root ganglion cell,4.7,AHP duration
Dorsal root ganglion cell,32.0,input resistance
Dorsal root ganglion cell,41.2,cell diameter
Dorsal root ganglion cell,32.2,cell capacitance
Dorsal root ganglion cell,-54.5,resting membrane potential
Dorsal root ganglion cell,35.7,spike peak
Dorsal root ganglion cell,598.3,spike threshold
Dorsal root ganglion cell,110.9,AHP amplitude
Neostriatum medium spiny neuron,-78.6,resting membrane potential
Neostriatum medium spiny neuron,338.0,input resistance
Neostriatum medium spiny neuron,10.9,membrane time constant
Neostriatum medium spiny neuron,-27.0,spike threshold
Neostriatum medium spiny neuron,70.2,spike amplitude
Neostriatum medium spiny neuron,1.12,spike half-width
Neostriatum medium spiny neuron,14.3,AHP amplitude
Neostriatum medium spiny neuron,12.3,AHP duration
Dorsal root ganglion cell,40.6,cell diameter
Dorsal root ganglion cell,36.9,cell capacitance
Dorsal root ganglion cell,-51.8,resting membrane potential
Dorsal root ganglion cell,38.7,spike peak
Dorsal root ganglion cell,618.7,spike threshold
Dorsal root ganglion cell,120.4,AHP amplitude
Substantia nigra pars reticulata interneuron GABA,-61.8,resting membrane potential
Substantia nigra pars reticulata interneuron GABA,313.0,input resistance
Substantia nigra pars reticulata interneuron GABA,8.3,membrane time constant
Substantia nigra pars reticulata interneuron GABA,-26.9,spike threshold
Substantia nigra pars reticulata interneuron GABA,60.4,spike amplitude
Substantia nigra pars reticulata interneuron GABA,0.65,spike half-width
Substantia nigra pars reticulata interneuron GABA,20.3,AHP amplitude
Substantia nigra pars reticulata interneuron GABA,4.1,AHP duration
Substantia nigra pars compacta dopaminergic cell,-58.8,resting membrane potential
Substantia nigra pars compacta dopaminergic cell,3.4,AHP duration
Substantia nigra pars compacta dopaminergic cell,52.5,spike amplitude
Substantia nigra pars compacta dopaminergic cell,-35.3,spike threshold
Substantia nigra pars compacta dopaminergic cell,287.0,input resistance
Substantia nigra pars compacta dopaminergic cell,0.82,spontaneous firing rate
Substantia nigra pars compacta dopaminergic cell,9.2,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,323.0,AHP duration
Hippocampus CA1 pyramidal cell,48.4,input resistance
Hippocampus CA1 pyramidal cell,-62.5,resting membrane potential
Hippocampus CA1 pyramidal cell,-60.1,other
Hippocampus CA1 pyramidal cell,69.8,spike amplitude
Hippocampus CA1 pyramidal cell,21.0,spike peak
Hippocampus CA1 pyramidal cell,12.2,AHP amplitude
Hippocampus CA1 pyramidal cell,354.3,spike max rise slope
Hippocampus CA1 pyramidal cell,-63.0,resting membrane potential
Hippocampus CA1 pyramidal cell,69.0,input resistance
Hippocampus CA1 pyramidal cell,-53.0,spike threshold
Hippocampus CA1 pyramidal cell,92.0,spike amplitude from resting
Hippocampus CA1 pyramidal cell,4.8,fast AHP duration
Hippocampus CA1 pyramidal cell,190.0,medium AHP duration
Hippocampus CA1 pyramidal cell,0.8,spike half-width
Hippocampus CA1 pyramidal cell,8.6,fast AHP amplitude
Dorsal root ganglion cell,-55.02,resting membrane potential
Dorsal root ganglion cell,146.1,rheobase
Dorsal root ganglion cell,-24.5,spike threshold
Dorsal root ganglion cell,87.9,spike amplitude
Dorsal root ganglion cell,3.1,spike width
Dorsal root ganglion cell,24.5,other
Dorsal root ganglion cell,15.3,other
Dorsal root ganglion cell,-47.78,resting membrane potential
Dorsal root ganglion cell,95.7,rheobase
Dorsal root ganglion cell,-23.3,spike threshold
Dorsal root ganglion cell,87.4,spike amplitude
Dorsal root ganglion cell,3.2,spike width
Dorsal root ganglion cell,6.2,other
Dorsal root ganglion cell,5.4,other
Dorsal root ganglion cell,20.1,cell diameter
Dorsal root ganglion cell,416.0,input resistance
Dorsal root ganglion cell,-55.9,resting membrane potential
Dorsal root ganglion cell,0.34,rheobase
Dorsal root ganglion cell,-27.2,spike threshold
Dorsal root ganglion cell,62.1,spike amplitude
Dorsal root ganglion cell,3.43,spike width
Dorsal root ganglion cell,21.4,AHP amplitude
Dorsal root ganglion cell,13.6,AHP duration
Dorsal root ganglion cell,43.2,cell capacitance
Dorsal root ganglion cell,2.05,firing frequency
Neocortex uncharacterized cell,-75.91,resting membrane potential
Neocortex uncharacterized cell,44.89,input resistance
Neocortex uncharacterized cell,91.59,spike amplitude
Neocortex uncharacterized cell,1.45,spike width
Other,15.1,cell capacitance
Other,1.2,input resistance
Other,-65.1,resting membrane potential
Other,19.1,cell capacitance
Other,2.0,input resistance
Other,-65.6,resting membrane potential
Other,-29.3,spike threshold
Other,5.0,AHP duration
Other,13.2,AHP duration
Other,45.2,spike amplitude
Neocortex pyramidal cell layer 5-6,-69.8,resting membrane potential
Neocortex pyramidal cell layer 5-6,116.6,input resistance
Neocortex pyramidal cell layer 5-6,95.6,spike amplitude from resting
Neocortex pyramidal cell layer 5-6,-38.2,spike threshold
Neocortex pyramidal cell layer 5-6,1.14,spike width
Neocortex pyramidal cell layer 5-6,0.7,spike half-width
Olfactory tubercle Islets of Calleja spiny granule neuron,-69.5,resting membrane potential
Olfactory tubercle Islets of Calleja spiny granule neuron,281.4,input resistance
Olfactory tubercle Islets of Calleja spiny granule neuron,32.0,membrane time constant
Olfactory tubercle Islets of Calleja spiny granule neuron,61.4,spike amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,2.12,spike width
Olfactory tubercle Islets of Calleja spiny granule neuron,-34.6,spike threshold
Olfactory tubercle Islets of Calleja spiny granule neuron,-11.7,AHP amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,8.7,AHP duration
Olfactory tubercle Islets of Calleja spiny granule neuron,42.9,sag amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,-65.1,resting membrane potential
Olfactory tubercle Islets of Calleja spiny granule neuron,250.2,input resistance
Olfactory tubercle Islets of Calleja spiny granule neuron,25.6,membrane time constant
Olfactory tubercle Islets of Calleja spiny granule neuron,68.7,spike amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,2.05,spike width
Olfactory tubercle Islets of Calleja spiny granule neuron,-39.4,spike threshold
Olfactory tubercle Islets of Calleja spiny granule neuron,-11.7,AHP amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,9.3,AHP duration
Olfactory tubercle Islets of Calleja spiny granule neuron,38.9,sag amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,-62.9,resting membrane potential
Olfactory tubercle Islets of Calleja spiny granule neuron,242.1,input resistance
Olfactory tubercle Islets of Calleja spiny granule neuron,31.4,membrane time constant
Olfactory tubercle Islets of Calleja spiny granule neuron,60.9,spike amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,2.05,spike width
Olfactory tubercle Islets of Calleja spiny granule neuron,-38.7,spike threshold
Olfactory tubercle Islets of Calleja spiny granule neuron,-7.5,AHP amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,7.3,AHP duration
Olfactory tubercle Islets of Calleja spiny granule neuron,71.4,sag amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,-62.1,resting membrane potential
Olfactory tubercle Islets of Calleja spiny granule neuron,251.0,input resistance
Olfactory tubercle Islets of Calleja spiny granule neuron,25.4,membrane time constant
Olfactory tubercle Islets of Calleja spiny granule neuron,64.6,spike amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,2.17,spike width
Olfactory tubercle Islets of Calleja spiny granule neuron,-39.5,spike threshold
Olfactory tubercle Islets of Calleja spiny granule neuron,-8.0,AHP amplitude
Olfactory tubercle Islets of Calleja spiny granule neuron,10.3,AHP duration
Olfactory tubercle Islets of Calleja spiny granule neuron,84.2,sag amplitude
Dorsal root ganglion cell,-60.06,resting membrane potential
Dorsal root ganglion cell,1.18,rheobase
Dorsal root ganglion cell,-38.5,spike threshold
Dorsal root ganglion cell,0.83,spike width
Dorsal root ganglion cell,39.2,spike amplitude
Dorsal root ganglion cell,2.3,AHP duration
Dorsal root ganglion cell,13.1,AHP amplitude
Dorsal root ganglion cell,24.8,input resistance
Dorsal root ganglion cell,-57.6,resting membrane potential
Dorsal root ganglion cell,1.0,rheobase
Dorsal root ganglion cell,-34.4,spike threshold
Dorsal root ganglion cell,1.16,spike width
Dorsal root ganglion cell,44.1,spike amplitude
Dorsal root ganglion cell,2.61,AHP duration
Dorsal root ganglion cell,15.0,AHP amplitude
Dorsal root ganglion cell,41.7,input resistance
Dorsal root ganglion cell,-58.1,resting membrane potential
Dorsal root ganglion cell,1.06,rheobase
Dorsal root ganglion cell,-17.62,spike threshold
Dorsal root ganglion cell,3.0,spike width
Dorsal root ganglion cell,51.7,spike amplitude
Dorsal root ganglion cell,6.0,AHP duration
Dorsal root ganglion cell,17.4,AHP amplitude
Dorsal root ganglion cell,91.9,input resistance
Medial vestibular nucleus neuron,281.0,input resistance
Medial vestibular nucleus neuron,11.0,spontaneous firing rate
Medial vestibular nucleus neuron,53.3,spike amplitude
Medial vestibular nucleus neuron,0.99,spike width
Medial vestibular nucleus neuron,180.0,maximum firing rate
Other,77.1,cell capacitance
Other,-48.1,resting membrane potential
Other,-36.5,spike threshold
Other,91.9,spike amplitude
Other,0.77,spike half-width
Other,21.1,slow AHP amplitude
Dorsal root ganglion cell,6.0,spike width
Dorsal root ganglion cell,6.3,spike width
Dorsal root ganglion cell,4.8,spike width
Dorsal root ganglion cell,6.0,spike width
Dorsal root ganglion cell,3.0,spike half-width
Dorsal root ganglion cell,2.7,spike half-width
Dorsal root ganglion cell,2.5,spike half-width
Dorsal root ganglion cell,3.1,spike half-width
Hippocampus CA1 basket cell,-72.1,resting membrane potential
Hippocampus CA1 basket cell,69.7,input resistance
Hippocampus CA1 basket cell,10.2,membrane time constant
Hippocampus CA1 basket cell,59.8,spike amplitude
Hippocampus CA1 basket cell,0.1,sag amplitude
Hippocampus CA1 basket cell,13.6,AHP amplitude
Hippocampus CA1 basket cell,0.5,spike half-width
Dentate gyrus granule cell,-75.58,resting membrane potential
Dentate gyrus granule cell,83.4,spike amplitude from resting
Dentate gyrus granule cell,0.834,spike half-width
Dentate gyrus granule cell,31.63,input resistance
Dentate gyrus granule cell,9.32,membrane time constant
Dentate gyrus granule cell,0.131,spontaneous firing rate
Hippocampus CA3 pyramidal cell,-70.3,resting membrane potential
Hippocampus CA3 pyramidal cell,77.3,spike amplitude from resting
Hippocampus CA3 pyramidal cell,0.761,spike half-width
Hippocampus CA3 pyramidal cell,28.2,input resistance
Hippocampus CA3 pyramidal cell,12.86,membrane time constant
Hippocampus CA3 pyramidal cell,0.439,spontaneous firing rate
Other,20.1,cell diameter
Other,21.3,cell capacitance
Other,6.6,spike width
Other,112.5,spike amplitude
Other,63.5,spike peak
Other,-48.0,resting membrane potential
Other,1.4,input resistance
Neocortex uncharacterized cell,-67.0,resting membrane potential
Neocortex uncharacterized cell,-41.0,spike threshold
Neocortex uncharacterized cell,58.0,spike amplitude
Neocortex uncharacterized cell,0.63,spike half-width
Neocortex uncharacterized cell,59.0,first spike latency
Neocortex uncharacterized cell,19.0,AHP amplitude
Neocortex uncharacterized cell,370.0,input resistance
Neocortex uncharacterized cell,11.0,membrane time constant
Neocortex uncharacterized cell,-66.0,resting membrane potential
Neocortex uncharacterized cell,-35.0,spike threshold
Neocortex uncharacterized cell,60.0,spike amplitude
Neocortex uncharacterized cell,0.67,spike half-width
Neocortex uncharacterized cell,209.0,first spike latency
Neocortex uncharacterized cell,25.0,AHP amplitude
Neocortex uncharacterized cell,238.0,input resistance
Neocortex uncharacterized cell,10.0,membrane time constant
Dorsal root ganglion cell,-54.2,resting membrane potential
Dorsal root ganglion cell,-33.1,spike threshold
Dorsal root ganglion cell,2.8,AHP duration
Dorsal root ganglion cell,10.2,access resistance
Dorsal root ganglion cell,26.0,cell capacitance
Dorsal root ganglion cell,24.2,cell diameter
Dorsal root ganglion cell,87.0,spike amplitude
Dorsal root ganglion cell,226.0,input resistance
Dorsal root ganglion cell,38.5,cell diameter
Dorsal root ganglion cell,87.2,cell capacitance
Dorsal root ganglion cell,-56.2,resting membrane potential
Dorsal root ganglion cell,122.5,input resistance
Dorsal root ganglion cell,7.9,rheobase
Dorsal root ganglion cell,-26.0,spike threshold
Dorsal root ganglion cell,86.5,spike amplitude
Dorsal root ganglion cell,1.3,spike width
Dorsal root ganglion cell,17.1,AHP amplitude
Dorsal root ganglion cell,25.6,AHP duration
Other,-68.5,resting membrane potential
Other,60.1,membrane time constant
Other,62.0,spike amplitude
Other,1.6,spike width
Other,-55.8,spike threshold
Other,31.4,rheobase
Other,11.43,firing frequency
Other,-7.1,AHP amplitude
Other,132.2,AHP duration
Other,886.5,input resistance
Spinal cord ventral horn motor neuron alpha,-78.5,resting membrane potential
Spinal cord ventral horn motor neuron alpha,18.5,membrane time constant
Spinal cord ventral horn motor neuron alpha,72.0,spike amplitude
Spinal cord ventral horn motor neuron alpha,1.18,spike width
Spinal cord ventral horn motor neuron alpha,-61.2,spike threshold
Spinal cord ventral horn motor neuron alpha,329.1,rheobase
Spinal cord ventral horn motor neuron alpha,21.29,firing frequency
Spinal cord ventral horn motor neuron alpha,-11.6,AHP amplitude
Spinal cord ventral horn motor neuron alpha,72.9,AHP duration
Spinal cord ventral horn motor neuron alpha,82.0,input resistance
Trigeminal nucleus principal cell,-57.0,resting membrane potential
Trigeminal nucleus principal cell,53.6,membrane time constant
Trigeminal nucleus principal cell,63.0,spike amplitude
Trigeminal nucleus principal cell,-37.0,spike threshold
Trigeminal nucleus principal cell,0.042,rheobase
Trigeminal nucleus principal cell,-5.9,AHP amplitude
Trigeminal nucleus principal cell,167.0,AHP duration
Trigeminal nucleus principal cell,521.0,input resistance
Trigeminal nucleus principal cell,-56.0,resting membrane potential
Trigeminal nucleus principal cell,36.6,membrane time constant
Trigeminal nucleus principal cell,62.0,spike amplitude
Trigeminal nucleus principal cell,1.6,spike half-width
Trigeminal nucleus principal cell,-39.0,spike threshold
Trigeminal nucleus principal cell,0.072,rheobase
Trigeminal nucleus principal cell,-7.5,AHP amplitude
Trigeminal nucleus principal cell,103.0,AHP duration
Trigeminal nucleus principal cell,347.0,input resistance
Trigeminal nucleus principal cell,-54.0,resting membrane potential
Trigeminal nucleus principal cell,27.8,membrane time constant
Trigeminal nucleus principal cell,62.0,spike amplitude
Trigeminal nucleus principal cell,1.2,spike half-width
Trigeminal nucleus principal cell,0.021,rheobase
Trigeminal nucleus principal cell,-6.5,AHP amplitude
Trigeminal nucleus principal cell,82.0,AHP duration
Trigeminal nucleus principal cell,360.0,input resistance
Trigeminal nucleus principal cell,-58.0,resting membrane potential
Trigeminal nucleus principal cell,18.1,membrane time constant
Trigeminal nucleus principal cell,67.0,spike amplitude
Trigeminal nucleus principal cell,1.5,spike half-width
Trigeminal nucleus principal cell,0.015,rheobase
Trigeminal nucleus principal cell,-5.4,AHP amplitude
Trigeminal nucleus principal cell,119.0,AHP duration
Trigeminal nucleus principal cell,219.0,input resistance
Hippocampus CA1 pyramidal cell,0.87,spike half-width
Hippocampus CA1 pyramidal cell,0.82,spike half-width
Neocortex pyramidal cell layer 2-3,1.0,spike half-width
Spinal cord ventral horn motor neuron alpha,22.02,firing frequency
Spinal cord ventral horn motor neuron alpha,-33.33,spike threshold
Spinal cord ventral horn motor neuron alpha,0.57,spike half-width
Spinal cord ventral horn motor neuron alpha,361.43,rheobase
Spinal cord ventral horn motor neuron alpha,3.93,AHP amplitude
Spinal cord ventral horn motor neuron alpha,17.24,other
Spinal cord ventral horn motor neuron alpha,32.9,other
Spinal cord ventral horn motor neuron alpha,56.75,input resistance
Spinal cord ventral horn motor neuron alpha,25.27,firing frequency
Spinal cord ventral horn motor neuron alpha,-34.88,spike threshold
Spinal cord ventral horn motor neuron alpha,0.82,spike half-width
Spinal cord ventral horn motor neuron alpha,175.0,rheobase
Spinal cord ventral horn motor neuron alpha,4.16,AHP amplitude
Spinal cord ventral horn motor neuron alpha,30.24,other
Spinal cord ventral horn motor neuron alpha,60.61,other
Spinal cord ventral horn motor neuron alpha,132.83,input resistance
Medial vestibular nucleus neuron,69.8,spike amplitude from resting
Medial vestibular nucleus neuron,-49.9,spike threshold
Medial vestibular nucleus neuron,0.5,spike half-width
Medial vestibular nucleus neuron,12.7,AHP amplitude
Medial vestibular nucleus neuron,40.6,other
Neocortex basket cell,-76.0,resting membrane potential
Neocortex basket cell,196.4,input resistance
Neocortex basket cell,56.0,spike amplitude
Neocortex basket cell,0.6,spike half-width
Neocortex basket cell,20.5,AHP amplitude
Neocortex basket cell,11.5,AHP duration
Neocortex basket cell,112.3,rheobase
Neocortex basket cell,0.32,FI slope
Neocortex uncharacterized cell,-74.2,resting membrane potential
Neocortex uncharacterized cell,285.0,input resistance
Neocortex uncharacterized cell,56.0,spike amplitude
Neocortex uncharacterized cell,1.1,spike half-width
Neocortex uncharacterized cell,17.8,AHP amplitude
Neocortex uncharacterized cell,63.7,AHP duration
Neocortex uncharacterized cell,78.1,rheobase
Neocortex uncharacterized cell,0.16,FI slope
Neocortex uncharacterized cell,-73.2,resting membrane potential
Neocortex uncharacterized cell,241.2,input resistance
Neocortex uncharacterized cell,56.2,spike amplitude
Neocortex uncharacterized cell,0.8,spike half-width
Neocortex uncharacterized cell,19.4,AHP amplitude
Neocortex uncharacterized cell,42.4,AHP duration
Neocortex uncharacterized cell,81.5,rheobase
Neocortex uncharacterized cell,0.25,FI slope
Spinal cord ventral horn motor neuron alpha,-57.0,resting membrane potential
Spinal cord ventral horn motor neuron alpha,224.0,cell capacitance
Spinal cord ventral horn motor neuron alpha,62.0,input resistance
Spinal cord ventral horn motor neuron alpha,30.5,spike peak
Spinal cord ventral horn motor neuron alpha,1.29,spike half-width
Spinal cord ventral horn motor neuron alpha,97.0,spike max rise slope
Spinal cord ventral horn motor neuron alpha,-33.9,spike threshold
Spinal cord ventral horn motor neuron alpha,37.0,FI slope
Neocortex basket cell,143.0,maximum firing rate
Neocortex uncharacterized cell,77.5,maximum firing rate
Neocortex uncharacterized cell,95.7,maximum firing rate
Medial entorhinal cortex layer II stellate cell,-65.3,resting membrane potential
Medial entorhinal cortex layer II stellate cell,84.0,input resistance
Medial entorhinal cortex layer II stellate cell,16.6,membrane time constant
Medial entorhinal cortex layer II stellate cell,0.72,sag ratio
Medial entorhinal cortex layer II stellate cell,-52.6,spike threshold
Medial entorhinal cortex layer II stellate cell,1.2,spike width
Medial entorhinal cortex layer II stellate cell,106.0,spike amplitude
Medial entorhinal cortex layer II stellate cell,8.5,fast AHP amplitude
Other,-66.6,resting membrane potential
Other,204.0,input resistance
Other,43.3,membrane time constant
Other,0.95,sag ratio
Other,-51.7,spike threshold
Other,1.2,spike width
Other,96.0,spike amplitude
Other,16.4,fast AHP amplitude
Other,-69.0,resting membrane potential
Other,190.0,input resistance
Other,24.7,membrane time constant
Other,0.9,spike half-width
Other,-45.0,spike threshold
Other,12.01,fast AHP amplitude
Hippocampus CA3 lacunosum moleculare neuron,-68.0,resting membrane potential
Hippocampus CA3 lacunosum moleculare neuron,174.0,input resistance
Hippocampus CA3 lacunosum moleculare neuron,21.2,membrane time constant
Hippocampus CA3 lacunosum moleculare neuron,1.0,spike half-width
Hippocampus CA3 lacunosum moleculare neuron,-46.0,spike threshold
Hippocampus CA3 lacunosum moleculare neuron,10.08,fast AHP amplitude
Other,79.0,spike amplitude
Hippocampus CA3 lacunosum moleculare neuron,78.0,spike amplitude
Medial vestibular nucleus neuron,73.2,spike amplitude
Medial vestibular nucleus neuron,-50.5,spike threshold
Medial vestibular nucleus neuron,37.8,spike peak
Medial vestibular nucleus neuron,0.96,other
Medial vestibular nucleus neuron,33.3,AHP amplitude
Medial vestibular nucleus neuron,1626.0,input resistance
Medial vestibular nucleus neuron,8.0,cell capacitance
Medial vestibular nucleus neuron,8.1,access resistance
Medial vestibular nucleus neuron,0.69,spike half-width
Medial vestibular nucleus neuron,70.3,spike amplitude
Medial vestibular nucleus neuron,-49.1,spike threshold
Medial vestibular nucleus neuron,36.2,spike peak
Medial vestibular nucleus neuron,0.47,other
Medial vestibular nucleus neuron,35.4,AHP amplitude
Medial vestibular nucleus neuron,1685.0,input resistance
Medial vestibular nucleus neuron,7.2,cell capacitance
Medial vestibular nucleus neuron,9.8,access resistance
Medial vestibular nucleus neuron,0.88,spike half-width
Medial vestibular nucleus neuron,13.9,spontaneous firing rate
Medial vestibular nucleus neuron,10.5,spontaneous firing rate
Medial vestibular nucleus neuron,9.7,AHP amplitude
Other,103.6,firing frequency
Other,0.39,adaptation ratio
Other,-40.4,spike threshold
Other,0.41,spike half-width
Other,-25.1,AHP amplitude
Other,73.8,spike amplitude
Other,334.2,spike max rise slope
Other,0.23,spike decay time
Other,8.9,spontaneous firing rate
Other,463.0,input resistance
Other,-53.7,resting membrane potential
Other,257.5,maximum firing rate
Other,28.5,membrane time constant
Other,16.9,cell capacitance
Other,49.4,firing frequency
Other,0.79,adaptation ratio
Other,-36.8,spike threshold
Other,0.8,spike half-width
Other,-26.6,AHP amplitude
Other,59.4,spike amplitude
Other,195.1,spike max rise slope
Other,0.69,spike decay time
Other,7.9,spontaneous firing rate
Other,628.0,input resistance
Other,-47.6,resting membrane potential
Other,67.2,maximum firing rate
Other,24.2,membrane time constant
Other,17.8,cell capacitance
Other,50.6,firing frequency
Other,0.39,adaptation ratio
Other,-38.8,spike threshold
Other,0.6,spike half-width
Other,-23.4,AHP amplitude
Other,63.0,spike amplitude
Other,226.9,spike max rise slope
Other,0.44,spike decay time
Other,8.1,spontaneous firing rate
Other,416.0,input resistance
Other,-51.7,resting membrane potential
Other,135.7,maximum firing rate
Other,25.0,membrane time constant
Other,16.3,cell capacitance
Other,50.7,firing frequency
Other,0.5,adaptation ratio
Other,-38.1,spike threshold
Other,0.64,spike half-width
Other,-25.7,AHP amplitude
Other,59.2,spike amplitude
Other,220.4,spike max rise slope
Other,0.47,spike decay time
Other,9.5,spontaneous firing rate
Other,646.0,input resistance
Other,-48.3,resting membrane potential
Other,105.2,maximum firing rate
Other,25.0,membrane time constant
Other,15.5,cell capacitance
Other,69.0,spike amplitude
Other,2.0,spike width
Other,-22.0,spike threshold
Other,-63.0,resting membrane potential
Other,637.0,input resistance
Other,51.0,membrane time constant
Other,16.0,AHP amplitude
Other,132.0,AHP duration
Other,338.0,AHP duration
Other,72.0,spike amplitude
Other,2.1,spike width
Other,-20.0,spike threshold
Other,-66.0,resting membrane potential
Other,688.0,input resistance
Other,44.0,membrane time constant
Other,20.0,AHP amplitude
Other,137.0,AHP duration
Other,307.0,AHP duration
Other,63.0,spike amplitude
Other,1.5,spike width
Other,-23.0,spike threshold
Other,-68.0,resting membrane potential
Other,531.0,input resistance
Other,42.0,membrane time constant
Other,14.0,AHP amplitude
Other,117.0,AHP duration
Other,325.0,AHP duration
Other,70.0,spike amplitude
Other,1.5,spike width
Other,-27.0,spike threshold
Other,-58.0,resting membrane potential
Other,432.0,input resistance
Other,22.0,membrane time constant
Other,15.0,AHP amplitude
Other,64.0,AHP duration
Other,178.0,AHP duration
BNST common spiny neuron,115.2,input resistance
BNST common spiny neuron,61.5,spike amplitude
BNST common spiny neuron,1.4,spike width
BNST common spiny neuron,-50.7,spike threshold
BNST common spiny neuron,17.4,membrane time constant
BNST common spiny neuron,-69.1,resting membrane potential
BNST common spiny neuron,127.9,input resistance
BNST common spiny neuron,62.1,spike amplitude
BNST common spiny neuron,1.2,spike width
BNST common spiny neuron,-51.8,spike threshold
BNST common spiny neuron,9.7,membrane time constant
BNST common spiny neuron,-68.6,resting membrane potential
Nucleus accumbens core neuron,35.1,input resistance
Nucleus accumbens core neuron,54.7,spike amplitude
Nucleus accumbens core neuron,1.3,spike width
