,Cell Type,Value,Measurement
1127,Thalamus relay cell,-59.5,resting membrane potential
1128,Thalamus relay cell,138.0,input resistance
1129,Neocortex pyramidal cell layer 5-6,-80.4,resting membrane potential
1130,Neocortex pyramidal cell layer 5-6,88.0,input resistance
1131,Medial vestibular nucleus neuron,379.0,FI slope
1132,Medial vestibular nucleus neuron,181.0,input resistance
1133,Medial vestibular nucleus neuron,-42.9,resting membrane potential
1134,Medial vestibular nucleus neuron,-30.6,spike threshold
1135,Medial vestibular nucleus neuron,206.0,FI slope
1136,Medial vestibular nucleus neuron,0.9,spike half-width
1137,Medial vestibular nucleus neuron,20.1,AHP amplitude
1138,Neostriatum medium spiny neuron,79.4,first spike latency
1139,Neostriatum medium spiny neuron,1.15,adaptation ratio (last/first ISI)
1140,Neostriatum medium spiny neuron,15.4,firing frequency
1141,Neostriatum medium spiny neuron,-81.6,resting membrane potential
1142,Medial vestibular nucleus neuron,25.1,firing frequency
1143,Dentate gyrus granule cell,-48.1,spike threshold
1144,Dentate gyrus granule cell,109.7,spike amplitude from resting
1145,Dentate gyrus granule cell,2.1,spike width
1146,Dentate gyrus hilar cell,-40.2,spike threshold
1147,Dentate gyrus hilar cell,57.9,spike amplitude from resting
1148,Dentate gyrus hilar cell,2.4,spike width
1149,Neostriatum medium spiny neuron,0.8,spike width
1150,Neostriatum medium spiny neuron,26.3,input resistance
1151,Trochlear nucleus motoneurons,28.6,AHP duration
1152,Trochlear nucleus motoneurons,-4.8,adaptation ratio (other)
1153,Trochlear nucleus motoneurons,48.2,FI slope
1154,Trochlear nucleus motoneurons,74.7,input resistance
1155,Hippocampus CA1 pyramidal cell,77.3,spike amplitude
1156,Hippocampus CA1 pyramidal cell,-64.4,resting membrane potential
1157,Hippocampus CA1 pyramidal cell,-6.8,slow AHP amplitude
1158,Hippocampus CA1 pyramidal cell,1.43,spike half-width
1159,Hippocampus CA1 pyramidal cell,285.0,slow AHP duration
1160,Hippocampus CA1 pyramidal cell,100.0,input resistance
1161,Hippocampus CA1 pyramidal cell,39.0,membrane time constant
1162,Hippocampus CA1 pyramidal cell,-65.0,resting membrane potential
1163,Hippocampus CA1 pyramidal cell,-38.0,spike threshold
1164,Hippocampus CA1 pyramidal cell,1.9,spike half-width
1165,Neostriatum gabaergic interneuron,287.0,input resistance
1166,Neostriatum gabaergic interneuron,57.1,spike amplitude
1167,Neostriatum gabaergic interneuron,0.83,spike half-width
1168,Neostriatum gabaergic interneuron,199.0,first spike latency
1169,Neostriatum medium spiny neuron,14.1,AHP amplitude
1170,Neostriatum gabaergic interneuron,17.3,AHP amplitude
1171,Neostriatum medium spiny neuron,8.8,AHP duration
1172,Neostriatum gabaergic interneuron,4.8,AHP duration
1173,Neostriatum medium spiny neuron,-79.2,resting membrane potential
1174,Neostriatum gabaergic interneuron,-64.5,resting membrane potential
1175,Substantia nigra pars compacta dopaminergic cell,-67.4,fast AHP voltage
1176,Substantia nigra pars compacta dopaminergic cell,-71.0,slow AHP duration
1177,Substantia nigra pars reticulata interneuron GABA,0.98,spike half-width
1178,Spinal cord ventral horn interneuron IA,1051.0,input resistance
1179,BNST beaded neuron,54.4,cell capacitance
1180,BNST beaded neuron,229.0,input resistance
1181,Dentate gyrus granule cell,-79.0,resting membrane potential
1182,Neostriatum medium spiny neuron,-78.2,resting membrane potential
1183,Spinal cord intermediate horn motor neuron sympathetic,44.2,membrane time constant
1184,Hippocampus CA3 pyramidal cell,160.1,input resistance
1185,Hippocampus CA3 pyramidal cell,37.2,membrane time constant
1186,Hippocampus CA3 pyramidal cell,1.18,spike half-width
1187,Hippocampus CA3 pyramidal cell,8.33,AHP duration
1188,Hippocampus CA3 trilaminar neuron,167.3,input resistance
1189,Hippocampus CA3 trilaminar neuron,16.9,membrane time constant
1190,Hippocampus CA3 trilaminar neuron,0.57,spike half-width
1191,Hippocampus CA3 trilaminar neuron,0.82,AHP duration
1192,Hippocampus CA3 basket cell,122.9,input resistance
1193,Hippocampus CA3 basket cell,11.2,membrane time constant
1194,Hippocampus CA3 basket cell,0.54,spike half-width
1195,Hippocampus CA3 basket cell,0.98,AHP duration
1196,Hippocampus CA3 pyramidal cell,-58.0,resting membrane potential
1197,Hippocampus CA3 pyramidal cell,307.0,input resistance
1198,Hippocampus CA3 pyramidal cell,71.0,membrane time constant
1199,Hippocampus CA3 pyramidal cell,80.0,spike amplitude
1200,Hippocampus CA3 pyramidal cell,1.7,spike half-width
1201,Hippocampus CA3 pyramidal cell,-35.0,spike threshold
1202,Hippocampus CA3 stratum radiatum giant cell,-57.0,resting membrane potential
1203,Hippocampus CA3 stratum radiatum giant cell,595.0,input resistance
1204,Hippocampus CA3 stratum radiatum giant cell,67.0,membrane time constant
1205,Hippocampus CA3 stratum radiatum giant cell,76.0,spike amplitude
1206,Hippocampus CA3 stratum radiatum giant cell,1.1,spike half-width
1207,Hippocampus CA3 stratum radiatum giant cell,-35.0,spike threshold
1208,Neostriatum cholinergic cell,0.45,spike half-width
1209,Hippocampus CA1 pyramidal cell,143.1,input resistance
1210,Subiculum pyramidal cell,0.79,spike half-width
1211,Subiculum pyramidal cell,95.4,spike amplitude
1212,Neocortex pyramidal cell layer 2-3,3.8,slow AHP amplitude
1213,Hippocampus CA3 pyramidal cell,55.5,input resistance
1214,Hippocampus CA3 pyramidal cell,180.0,input resistance
1215,Hypoglossal nucleus motor neuron,-62.4,resting membrane potential
1216,Hypoglossal nucleus motor neuron,99.0,medium AHP duration
1217,Hypoglossal nucleus motor neuron,89.2,spike amplitude
1218,Hypoglossal nucleus motor neuron,63.4,cell capacitance
1219,Hypoglossal nucleus motor neuron,107.1,input resistance
1220,Hypoglossal nucleus motor neuron,1.44,spike width
1221,Dorsal motor nucleus of vagus motor neuron,299.5,cell surface area
1222,Dentate gyrus granule cell,-11.2,fast AHP amplitude
1223,Dentate gyrus granule cell,1.0,slow AHP amplitude
1224,Neocortex basket cell,-38.8,spike threshold
1225,Neocortex basket cell,78.0,spike amplitude
1226,Neocortex basket cell,0.8,spike half-width
1227,Neocortex basket cell,40.6,firing frequency
1228,Neocortex basket cell,0.45,FI slope
1229,Neocortex basket cell,22.4,AHP amplitude
1230,Neocortex basket cell,1.0,adaptation ratio
1231,Neocortex basket cell,68.7,input resistance
1232,Neocortex basket cell,0.2,FI slope
1233,Neocortex basket cell,1.1,adaptation ratio (last/first ISI)
1234,Neocortex basket cell,-34.1,spike threshold
1235,Neocortex basket cell,32.2,spike amplitude
1236,Neocortex basket cell,0.34,spike half-width
1237,Neocortex basket cell,-76.1,resting membrane potential
1238,Neocortex pyramidal cell layer 2-3,-73.9,resting membrane potential
1239,Neocortex basket cell,94.3,input resistance
1240,Neocortex basket cell,0.3,FI slope
1241,Neocortex basket cell,1.07,adaptation ratio (last/first ISI)
1242,Neocortex uncharacterized cell,0.39,spike half-width
1243,Neocortex pyramidal cell layer 5-6,80.3,input resistance
1244,Neocortex pyramidal cell layer 5-6,119.7,input resistance
1245,Neocortex pyramidal cell layer 5-6,18.5,adaptation percent (1 – first/last ISI)
1246,Neocortex basket cell,-67.4,resting membrane potential
1247,Neocortex basket cell,38.2,cell capacitance
1248,Neocortex basket cell,73.4,firing frequency
1249,Neocortex basket cell,120.8,FI slope
1250,Neocortex basket cell,80.9,input resistance
1251,Neocortex basket cell,9.1,adaptation percent (1 – first/last ISI)
1252,Hippocampus CA3 pyramidal cell,85.0,spike amplitude
1253,Hippocampus CA3 pyramidal cell,91.0,membrane time constant
1254,Hippocampus CA3 pyramidal cell,454.0,input resistance
1255,Hippocampus CA3 pyramidal cell,-57.0,resting membrane potential
1256,Hippocampus CA3 pyramidal cell,1.7,spike half-width
1257,Hippocampus CA3 pyramidal cell,-39.0,spike threshold
1258,Hippocampus CA1 pyramidal cell,21.1,membrane time constant
1259,Other,-66.2,resting membrane potential
1260,Other,-55.4,spike threshold
1261,Other,96.9,input resistance
1262,Other,16.2,membrane time constant
1263,Hippocampus CA1 pyramidal cell,72.55,resting membrane potential
1264,Hippocampus CA1 pyramidal cell,69.65,spike amplitude
1265,Hippocampus CA1 pyramidal cell,30.48,input resistance
1266,Hippocampus CA1 pyramidal cell,120.8,input resistance
1267,Hippocampus CA1 pyramidal cell,35.48,spike peak
1268,Hippocampus CA1 pyramidal cell,38.77,spike peak
1269,Subiculum pyramidal cell,39.7,input resistance
1270,Subiculum pyramidal cell,19.6,membrane time constant
1271,Neocortex basket cell,-20.4,AHP amplitude
1272,Neocortex basket cell,68.3,first spike latency
1273,Neocortex basket cell,78.1,firing frequency
1274,Hippocampus CA1 pyramidal cell,313.9,first spike latency
1275,Hippocampus CA1 basket cell,-63.0,resting membrane potential
1276,Hippocampus CA1 basket cell,110.0,input resistance
1277,Hippocampus CA1 basket cell,12.0,membrane time constant
1278,Hippocampus CA1 basket cell,20.0,adaptation percent (1 – first/last ISI)
1279,Hippocampus CA1 basket cell,0.4,spike half-width
1280,Hippocampus CA1 oriens lacunosum moleculare neuron,-62.0,resting membrane potential
1281,Hippocampus CA1 oriens lacunosum moleculare neuron,267.0,input resistance
1282,Hippocampus CA1 oriens lacunosum moleculare neuron,32.0,membrane time constant
1283,Hippocampus CA1 oriens lacunosum moleculare neuron,26.0,adaptation percent (1 – first/last ISI)
1284,Hippocampus CA1 oriens lacunosum moleculare neuron,0.8,spike half-width
1285,Neocortex pyramidal cell layer 5-6,-65.7,resting membrane potential
1286,Neocortex pyramidal cell layer 5-6,97.2,input resistance
1287,Neocortex pyramidal cell layer 5-6,18.3,membrane time constant
1288,Neocortex pyramidal cell layer 5-6,148.0,rheobase
1289,Hippocampus CA1 pyramidal cell,1.2,spike half-width
1290,Nucleus accumbens shell neuron,-82.6,resting membrane potential
1291,Nucleus accumbens shell neuron,173.0,first spike latency
1292,Nucleus accumbens shell neuron,130.4,input resistance
1293,Nucleus accumbens shell neuron,176.0,first spike latency
1294,Nucleus accumbens shell neuron,-82.5,resting membrane potential
1295,Neocortex pyramidal cell layer 5-6,34.4,input resistance
1296,Neocortex pyramidal cell layer 5-6,7.1,membrane time constant
1297,Neocortex pyramidal cell layer 5-6,-67.0,resting membrane potential
1298,Neocortex pyramidal cell layer 5-6,1.26,spike half-width
1299,Neocortex pyramidal cell layer 5-6,-49.6,spike threshold
1300,Neocortex pyramidal cell layer 2-3,38.5,FI slope
1301,Neocortex pyramidal cell layer 5-6,43.5,FI slope
1302,Nucleus accumbens shell neuron,188.0,first spike latency
1303,Hippocampus CA1 pyramidal cell,-3.4,fast AHP amplitude
1304,Hippocampus CA1 pyramidal cell,1.0,spike half-width
1305,Hippocampus CA1 pyramidal cell,45.7,input resistance
1306,Hippocampus CA1 pyramidal cell,-64.3,resting membrane potential
1307,Hippocampus CA1 pyramidal cell,28.4,input resistance
1308,Hippocampus CA1 pyramidal cell,13.7,membrane time constant
1309,Neocortex pyramidal cell layer 2-3,316.6,input resistance
1310,Neocortex pyramidal cell layer 2-3,84.7,spike amplitude
1311,Neocortex pyramidal cell layer 2-3,16.4,sag ratio
1312,Neocortex pyramidal cell layer 2-3,1.3,spike half-width
1313,Neocortex pyramidal cell layer 5-6,159.7,input resistance
1314,Neocortex pyramidal cell layer 5-6,96.5,spike amplitude
1315,Neocortex pyramidal cell layer 5-6,25.7,sag ratio
1316,Neocortex pyramidal cell layer 5-6,1.4,spike half-width
1317,Neocortex layer 4 stellate cell,451.2,input resistance
1318,Neocortex layer 4 stellate cell,85.9,spike amplitude
1319,Neocortex layer 4 stellate cell,16.6,sag ratio
1320,Neocortex layer 4 stellate cell,1.4,spike half-width
1321,Neocortex pyramidal cell layer 5-6,-13.2,AHP amplitude
1322,Neocortex layer 4 stellate cell,-6.2,AHP amplitude
1323,Neocortex pyramidal cell layer 5-6,-9.0,AHP amplitude
1324,Neocortex pyramidal cell layer 2-3,-9.6,AHP amplitude
1325,Neocortex pyramidal cell layer 2-3,156.0,FI slope
1326,Hippocampus CA1 pyramidal cell,32.6,input resistance
1327,Hippocampus CA1 pyramidal cell,33.2,firing frequency
1328,Neocortex uncharacterized cell,-1.9,slow AHP amplitude
1329,Spinal cord intermediate horn motor neuron sympathetic,253.3,AHP duration
1330,Neocortex interneuron deep,4.8,fast AHP duration
1331,Neocortex pyramidal cell layer 5-6,6.6,spike width
1332,Neocortex pyramidal cell layer 5-6,12.0,fast AHP amplitude
1333,Neocortex pyramidal cell layer 5-6,32.0,fast AHP duration
1334,Cerebellum granule cell,0.67,spike half-width
1335,Hypothalamus oxytocin neuroendocrine magnocellular cell,120.7,rheobase
1336,Hypothalamus oxytocin neuroendocrine magnocellular cell,20.2,spike peak
1337,Hypothalamus oxytocin neuroendocrine magnocellular cell,0.96,spike half-width
1338,Hypothalamus oxytocin neuroendocrine magnocellular cell,-70.7,AHP voltage
1339,Hypothalamus oxytocin neuroendocrine magnocellular cell,3.6,ADP amplitude
1340,Dorsal root ganglion cell,20.7,cell diameter
1341,Dorsal root ganglion cell,-51.6,resting membrane potential
1342,Dorsal root ganglion cell,89.3,spike amplitude
1343,Dorsal root ganglion cell,12.0,AHP amplitude from resting
1344,Cerebellum Golgi cell,-74.9,AHP voltage
1345,Cerebellum Golgi cell,37.0,AHP duration
1346,DRG temperature cell,-42.0,spike threshold
1347,Dorsal root ganglion cell,-43.0,spike threshold
1348,DRG temperature cell,1.0,spike half-width
1349,Dorsal root ganglion cell,1.19,spike half-width
1350,Medial entorhinal cortex layer II stellate cell,-59.1,resting membrane potential
1351,Medial entorhinal cortex layer II stellate cell,96.0,input resistance
1352,Medial entorhinal cortex layer II stellate cell,66.0,sag ratio
1353,Medial entorhinal cortex layer II stellate cell,-46.1,spike threshold
1354,Medial entorhinal cortex layer II stellate cell,102.5,spike amplitude from resting
1355,Medial entorhinal cortex layer II stellate cell,0.9,spike half-width
1356,Medial entorhinal cortex layer II stellate cell,1.7,fast AHP amplitude from resting
1357,Medial entorhinal cortex layer II stellate cell,6.3,ADP amplitude
1358,Medial entorhinal cortex layer II stellate cell,45.0,FI slope
1359,Medial entorhinal cortex layer II stellate cell,54.8,AHP duration
1360,Hippocampus CA1 pyramidal cell,-62.8,resting membrane potential
1361,Hippocampus CA1 pyramidal cell,107.0,input resistance
1362,Hippocampus CA1 pyramidal cell,4.2,AHP amplitude
1363,Hippocampus CA1 pyramidal cell,49.0,adaptation percent (1 – first/last ISI)
1364,Hippocampus CA1 pyramidal cell,48.0,first spike latency
1365,Hippocampus CA1 pyramidal cell,86.0,maximum firing rate
1366,Hippocampus CA1 pyramidal cell,29.8,membrane time constant
1367,Other,-59.8,resting membrane potential
1368,Other,284.0,input resistance
1369,Other,11.2,AHP amplitude
1370,Other,26.0,adaptation percent (1 – first/last ISI)
1371,Other,21.2,first spike latency
1372,Other,206.0,maximum firing rate
1373,Other,13.3,membrane time constant
1374,Dorsal root ganglion cell,-55.7,resting membrane potential
1375,Neostriatum gabaergic interneuron,209.7,input resistance
1376,Neostriatum gabaergic interneuron,248.5,first spike latency
1377,Neostriatum gabaergic interneuron,2.0,adaptation ratio (last/first ISI)
1378,Neostriatum gabaergic interneuron,-72.8,resting membrane potential
1379,Neostriatum gabaergic interneuron,161.9,rheobase
1380,Neostriatum gabaergic interneuron,46.3,spike amplitude
1381,Neostriatum gabaergic interneuron,1.4,spike width
1382,Neostriatum gabaergic interneuron,12.8,fast AHP amplitude
1383,Neostriatum gabaergic interneuron,1.84,fast AHP duration
1384,Neostriatum gabaergic interneuron,17.9,slow AHP duration
1385,Neostriatum medium spiny neuron,225.7,input resistance
1386,Neostriatum medium spiny neuron,414.6,first spike latency
1387,Neostriatum medium spiny neuron,0.96,adaptation ratio (last/first ISI)
1388,Neostriatum medium spiny neuron,-75.3,resting membrane potential
1389,Neostriatum medium spiny neuron,163.6,rheobase
1390,Neostriatum medium spiny neuron,68.5,spike amplitude
1391,Neostriatum medium spiny neuron,3.3,spike width
1392,Neostriatum medium spiny neuron,8.6,fast AHP amplitude
1393,Neostriatum medium spiny neuron,16.1,fast AHP duration
1394,Neostriatum medium spiny neuron,38.3,slow AHP duration
1395,Neostriatum cholinergic cell,307.3,input resistance
1396,Neostriatum cholinergic cell,281.0,first spike latency
1397,Neostriatum cholinergic cell,1.2,adaptation ratio (last/first ISI)
1398,Neostriatum cholinergic cell,-61.9,resting membrane potential
1399,Neostriatum cholinergic cell,40.1,rheobase
1400,Neostriatum cholinergic cell,61.3,spike amplitude
1401,Neostriatum cholinergic cell,5.2,spike width
1402,Neostriatum cholinergic cell,12.0,fast AHP amplitude
1403,Neostriatum cholinergic cell,25.7,fast AHP duration
1404,Neostriatum cholinergic cell,64.6,slow AHP duration
1405,Neostriatum gabaergic interneuron,34.4,firing frequency
1406,Neostriatum cholinergic cell,9.4,firing frequency
1407,Neostriatum medium spiny neuron,12.5,firing frequency
1408,Inferior colliculus neuron,-57.1,resting membrane potential
1409,Inferior colliculus neuron,89.0,input resistance
1410,Inferior colliculus neuron,-46.8,spike threshold
1411,Hippocampus CA1 ivy neuron,73.0,AHP duration
1412,Hippocampus CA1 ivy neuron,19.0,membrane time constant
1413,Hippocampus CA1 ivy neuron,-33.0,spike threshold
1414,Hippocampus CA1 ivy neuron,56.0,spike amplitude
1415,Hippocampus CA1 ivy neuron,0.8,spike half-width
1416,Hippocampus CA1 ivy neuron,21.4,AHP amplitude
1417,Hippocampus CA1 ivy neuron,1.22,adaptation ratio (last/first ISI)
1418,Hippocampus CA1 ivy neuron,107.0,cell capacitance
1419,Hippocampus CA1 ivy neuron,185.0,input resistance
1420,Hippocampus CA1 ivy neuron,-63.0,resting membrane potential
1421,Hippocampus CA1 ivy neuron,511.0,first spike latency
1422,Hippocampus CA1 neurogliaform cell,63.0,AHP duration
1423,Hippocampus CA1 neurogliaform cell,17.0,membrane time constant
1424,Hippocampus CA1 neurogliaform cell,-30.0,spike threshold
1425,Hippocampus CA1 neurogliaform cell,58.0,spike amplitude
1426,Hippocampus CA1 neurogliaform cell,0.92,spike half-width
1427,Hippocampus CA1 neurogliaform cell,21.8,AHP amplitude
1428,Hippocampus CA1 neurogliaform cell,1.14,adaptation ratio (last/first ISI)
1429,Hippocampus CA1 neurogliaform cell,64.0,cell capacitance
1430,Hippocampus CA1 neurogliaform cell,251.0,input resistance
1431,Hippocampus CA1 neurogliaform cell,-60.0,resting membrane potential
1432,Hippocampus CA1 neurogliaform cell,376.0,first spike latency
1433,Hippocampus CA1 neurogliaform cell,81.0,AHP duration
1434,Hippocampus CA1 neurogliaform cell,13.0,membrane time constant
1435,Hippocampus CA1 neurogliaform cell,-31.0,spike threshold
1436,Hippocampus CA1 neurogliaform cell,57.0,spike amplitude
1437,Hippocampus CA1 neurogliaform cell,0.75,spike half-width
1438,Hippocampus CA1 neurogliaform cell,21.9,AHP amplitude
1439,Hippocampus CA1 neurogliaform cell,1.01,adaptation ratio (last/first ISI)
1440,Hippocampus CA1 neurogliaform cell,62.0,cell capacitance
1441,Hippocampus CA1 neurogliaform cell,228.0,input resistance
1442,Hippocampus CA1 neurogliaform cell,-67.0,resting membrane potential
1443,Hippocampus CA1 neurogliaform cell,354.0,first spike latency
1444,Medial vestibular nucleus neuron,209.0,input resistance
1445,Medial vestibular nucleus neuron,-42.1,resting membrane potential
1446,Medial vestibular nucleus neuron,-29.8,spike threshold
1447,Medial vestibular nucleus neuron,186.0,FI slope
1448,Medial vestibular nucleus neuron,0.82,spike half-width
1449,Medial vestibular nucleus neuron,20.0,AHP amplitude
1450,DRG temperature cell,90.0,spike amplitude
1451,Dorsal root ganglion cell,99.31,input resistance
1452,Dorsal root ganglion cell,-61.94,resting membrane potential
1453,Dorsal root ganglion cell,28.96,cell diameter
1454,Dorsal root ganglion cell,-37.51,spike threshold
1455,Dorsal root ganglion cell,37.08,input resistance
1456,Dorsal root ganglion cell,1.68,rheobase
1457,Dorsal root ganglion cell,2.42,AHP duration
1458,Dorsal root ganglion cell,55.1,spike amplitude
1459,Dorsal root ganglion cell,40.95,cell diameter
1460,Dorsal root ganglion cell,1.96,spike width
1461,Dorsal root ganglion cell,12.94,AHP amplitude
1462,Dorsal root ganglion cell,-63.91,resting membrane potential
1463,Dorsal root ganglion cell,-40.45,spike threshold
1464,Dorsal root ganglion cell,34.46,input resistance
1465,Dorsal root ganglion cell,1.89,rheobase
1466,Dorsal root ganglion cell,2.04,AHP duration
1467,Dorsal root ganglion cell,56.0,spike amplitude
1468,Dorsal root ganglion cell,54.81,cell diameter
1469,Dorsal root ganglion cell,0.99,spike width
1470,Dorsal root ganglion cell,12.1,AHP amplitude
1471,Dorsal root ganglion cell,-66.67,resting membrane potential
1472,Neocortex uncharacterized cell,36.0,spike peak
1473,Neocortex pyramidal cell layer 5-6,78.0,spike amplitude
1474,Neocortex pyramidal cell layer 5-6,-21.0,AHP amplitude
1475,Neocortex pyramidal cell layer 5-6,0.4,spike half-width
1476,Neocortex pyramidal cell layer 5-6,15.0,adaptation percent (1 – first/last ISI)
1477,Neocortex pyramidal cell layer 5-6,-73.0,resting membrane potential
1478,Cerebellum Purkinje cell,-74.0,AHP voltage
1479,Cerebellum granule cell,1.53,input resistance
1480,Cerebellum granule cell,4.62,cell capacitance
1481,Cerebellum granule cell,-69.4,resting membrane potential
1482,Cerebellum granule cell,-49.6,spike threshold
1483,Inferior colliculus neuron,59.9,resting membrane potential
1484,Inferior colliculus neuron,321.4,input resistance
1485,Inferior colliculus neuron,23.6,membrane time constant
1486,Inferior colliculus neuron,48.1,spike amplitude
1487,Inferior colliculus neuron,1.4,spike half-width
1488,Inferior colliculus neuron,43.9,spike threshold
1489,Neostriatum TH+ cell,-76.0,resting membrane potential
1490,Neostriatum TH+ cell,-51.0,spike threshold
1491,Neostriatum TH+ cell,27.0,spike peak
1492,Neostriatum TH+ cell,78.0,spike amplitude
1493,Neostriatum TH+ cell,1.51,spike half-width
1494,Neostriatum TH+ cell,29.0,AHP duration
1495,Neostriatum TH+ cell,11.6,AHP amplitude
1496,Neostriatum TH+ cell,406.0,input resistance
1497,Neostriatum TH+ cell,-65.3,resting membrane potential
1498,Neostriatum TH+ cell,-49.2,spike threshold
1499,Neostriatum TH+ cell,20.1,spike peak
1500,Neostriatum TH+ cell,69.3,spike amplitude
1501,Neostriatum TH+ cell,0.68,spike half-width
1502,Neostriatum TH+ cell,3.4,AHP duration
1503,Neostriatum TH+ cell,15.5,AHP amplitude
1504,Neostriatum TH+ cell,635.0,input resistance
1505,Inferior colliculus neuron,-58.2,resting membrane potential
1506,Inferior colliculus neuron,12.1,membrane time constant
1507,Inferior colliculus neuron,50.8,spike amplitude
1508,Inferior colliculus neuron,75.0,AHP duration
1509,Inferior colliculus neuron,253.2,input resistance
1510,Inferior colliculus neuron,1.0,spike half-width
1511,Inferior colliculus neuron,9.6,AHP amplitude
1512,Inferior colliculus neuron,-59.2,resting membrane potential
1513,Inferior colliculus neuron,12.7,membrane time constant
1514,Inferior colliculus neuron,48.7,spike amplitude
1515,Inferior colliculus neuron,72.2,AHP duration
1516,Inferior colliculus neuron,275.2,input resistance
1517,Inferior colliculus neuron,1.1,spike half-width
1518,Inferior colliculus neuron,11.7,AHP amplitude
1519,Amygdala basolateral nucleus pyramidal neuron,-70.0,resting membrane potential
1520,Amygdala basolateral nucleus pyramidal neuron,31.0,membrane time constant
1521,Amygdala basolateral nucleus pyramidal neuron,63.0,input resistance
1522,Amygdala basolateral nucleus pyramidal neuron,-35.5,spike threshold
1523,Amygdala basolateral nucleus pyramidal neuron,1.06,spike half-width
1524,Amygdala corticomedial nucleus pyramidal cell,-70.0,resting membrane potential
1525,Amygdala corticomedial nucleus pyramidal cell,339.0,input resistance
1526,Amygdala corticomedial nucleus pyramidal cell,23.3,membrane time constant
1527,Amygdala corticomedial nucleus pyramidal cell,-47.9,spike threshold
1528,Amygdala corticomedial nucleus pyramidal cell,92.5,spike amplitude
1529,Amygdala corticomedial nucleus pyramidal cell,0.8,spike half-width
1530,Amygdala corticomedial nucleus pyramidal cell,-69.3,resting membrane potential
1531,Amygdala corticomedial nucleus pyramidal cell,318.0,input resistance
1532,Amygdala corticomedial nucleus pyramidal cell,25.8,membrane time constant
1533,Amygdala corticomedial nucleus pyramidal cell,-45.5,spike threshold
1534,Amygdala corticomedial nucleus pyramidal cell,89.6,spike amplitude
1535,Amygdala corticomedial nucleus pyramidal cell,1.1,spike half-width
1536,Dentate gyrus granule cell,170.0,input resistance
1537,Dentate gyrus granule cell,-75.0,resting membrane potential
1538,Dentate gyrus granule cell,20.0,membrane time constant
1539,Dentate gyrus granule cell,58.0,spike amplitude
1540,Dentate gyrus granule cell,0.93,spike half-width
1541,Dentate gyrus granule cell,-10.7,fast AHP amplitude
1542,Dentate gyrus granule cell,-1.9,slow AHP amplitude
1543,Dentate gyrus granule cell,16.3,firing frequency
1544,Ventral tegmental area dopamine neuron,86.1,spike amplitude
1545,Ventral tegmental area dopamine neuron,1.3,spike half-width
1546,Ventral tegmental area dopamine neuron,-42.7,spike threshold
1547,Ventral tegmental area dopamine neuron,-24.0,spike threshold
1548,Ventral tegmental area dopamine neuron,60.0,spike amplitude
1549,Ventral tegmental area dopamine neuron,-44.0,resting membrane potential
1550,Other,-28.0,spike threshold
1551,Other,56.0,spike amplitude
1552,Other,-46.0,resting membrane potential
1553,Ventral tegmental area dopamine neuron,29.4,cell capacitance
1554,Ventral tegmental area dopamine neuron,896.0,input resistance
1555,Ventral tegmental area dopamine neuron,24.2,cell capacitance
1556,Ventral tegmental area dopamine neuron,1097.0,input resistance
1557,Ventral tegmental area dopamine neuron,-30.5,spike threshold
1558,Ventral tegmental area dopamine neuron,49.7,spike amplitude
1559,Ventral tegmental area dopamine neuron,5.2,firing frequency
1560,Ventral tegmental area dopamine neuron,20.9,cell diameter
1561,Ventral tegmental area dopamine neuron,-45.6,AHP voltage
1562,Ventral tegmental area dopamine neuron,-32.7,spike threshold
1563,Ventral tegmental area dopamine neuron,55.6,spike amplitude
1564,Ventral tegmental area dopamine neuron,3.6,firing frequency
1565,Ventral tegmental area dopamine neuron,26.8,cell diameter
1566,Ventral tegmental area dopamine neuron,-52.8,AHP voltage
1567,Substantia nigra pars compacta dopaminergic cell,-33.1,spike threshold
1568,Substantia nigra pars compacta dopaminergic cell,59.5,spike amplitude
1569,Substantia nigra pars compacta dopaminergic cell,2.4,firing frequency
1570,Substantia nigra pars compacta dopaminergic cell,27.6,cell diameter
1571,Substantia nigra pars compacta dopaminergic cell,-56.3,AHP voltage
1572,Substantia nigra pars compacta dopaminergic cell,-32.0,spike threshold
1573,Substantia nigra pars compacta dopaminergic cell,55.8,spike amplitude
1574,Substantia nigra pars compacta dopaminergic cell,3.3,firing frequency
1575,Substantia nigra pars compacta dopaminergic cell,28.8,cell diameter
1576,Substantia nigra pars compacta dopaminergic cell,-54.7,AHP voltage
1577,Ventral tegmental area dopamine neuron,3.3,firing frequency
1578,Ventral tegmental area dopamine neuron,68.5,spike amplitude
1579,Ventral tegmental area dopamine neuron,2.4,spike half-width
1580,Ventral tegmental area dopamine neuron,-38.3,spike threshold
1581,Ventral tegmental area dopamine neuron,29.5,AHP amplitude
1582,Nucleus of the solitary tract principal cell,69.5,resting membrane potential
1583,Nucleus of the solitary tract principal cell,789.0,input resistance
1584,Nucleus of the solitary tract principal cell,4.4,spike width
1585,Nucleus of the solitary tract principal cell,66.9,firing frequency
1586,Nucleus of the solitary tract principal cell,16.1,AHP amplitude
1587,Other,1.4,spike half-width
1588,Other,16.0,AHP amplitude
1589,Other,70.1,spike amplitude
1590,Other,-43.6,spike threshold
1591,Other,-71.0,resting membrane potential
1592,Other,36.8,membrane time constant
1593,Other,61.0,cell capacitance
1594,Other,603.0,input resistance
1595,Other,0.6,adaptation ratio
1596,Thalamic reticular nucleus cell,-69.2,resting membrane potential
